Year,Round,BS,WS,BS_vs_WS,Seed_Diff,BS_Rev,BS_RankWins,BS_RankGames,BS_RankWinPct,WS_RankWins,WS_RankGames,WS_RankWinPct,BS_ScoMar,WS_ScoMar,ScoMar_Diff,BS_ATRatio,WS_ATRatio,ATRatio_Diff,BS_OppATRatio,WS_OppATRatio,OppATRatio_Diff,BS_ATRatioDiff_Ovr,WS_ATRatioDiff_Ovr,ATRatio_Diff_Ovr,BS_OffEff,WS_OffEff,OffEff_Diff,BS_DefEff,WS_DefEff,DefEff_Diff,BS_EffDiff_Ovr,WS_EffDiff_Ovr,EffDiff_Ovr
2016,1,Kentucky,Stony Brook,0,9,27239237,3,4,0.750,0,1,0.000,11.4,9,2.4,1.274,1.378,-0.104,0.764,0.909,-0.145,0.51,0.469,0.041,1.127,1.079,0.048,0.965,0.949,0.016,0.162,0.13,0.032
2016,1,Notre Dame,Michigan,0,5,3358680,4,9,0.444,3,12,0.250,4.5,5.8,-1.3,1.345,1.601,-0.256,1.425,1.165,0.26,-0.08,0.436,-0.516,1.128,1.104,0.024,1.06,1.017,0.043,0.068,0.087,-0.019
2016,1,West Virginia,SF Austin,1,11,6216753,6,12,0.500,0,1,0.000,11.8,14.7,-2.9,1.024,1.499,-0.475,0.595,0.662,-0.067,0.429,0.837,-0.408,1.084,1.126,-0.042,0.921,0.917,0.004,0.163,0.209,-0.046
2016,1,Wisconsin,Pittsburgh,0,3,22808750,5,10,0.500,1,8,0.125,4,6.7,-2.7,1.039,1.418,-0.379,0.879,1.179,-0.3,0.16,0.239,-0.079,1.027,1.095,-0.068,0.967,0.997,-0.03,0.06,0.098,-0.038
2016,1,Xavier,Weber State,0,13,12346880,6,7,0.857,0,0,0.000,10.1,5.3,4.8,1.283,0.943,0.34,0.962,0.986,-0.024,0.321,-0.043,0.364,1.086,1.049,0.037,0.949,0.973,-0.024,0.137,0.076,0.061
2016,1,Virginia,Hampton,0,15,10326281,7,9,0.778,0,1,0.000,10.9,-0.3,11.2,1.602,0.882,0.72,0.864,0.902,-0.038,0.738,-0.02,0.758,1.131,0.989,0.142,0.957,0.993,-0.036,0.174,-0.004,0.178
2016,1,Texas Tech,Butler,1,1,7057773,3,11,0.273,2,8,0.250,2.2,8.9,-6.7,1.094,1.385,-0.291,0.903,0.958,-0.055,0.191,0.427,-0.236,1.042,1.109,-0.067,1.011,0.985,0.026,0.031,0.124,-0.093
2016,1,Purdue,Little Rock,1,7,10375722,2,7,0.286,0,0,0.000,12.7,8.9,3.8,1.468,1.259,0.209,1.28,0.792,0.488,0.188,0.467,-0.279,1.108,1.058,0.05,0.927,0.924,0.003,0.181,0.134,0.047
2016,1,Iowa State,Iona,0,9,10767763,4,11,0.364,0,0,0.000,6.8,5.4,1.4,1.446,1.309,0.137,1.174,0.98,0.194,0.272,0.329,-0.057,1.112,1.072,0.04,1.02,1,0.02,0.092,0.072,0.02
2016,1,Seton Hall,Gonzaga,1,5,6264583,4,7,0.571,1,3,0.333,6.4,12.7,-6.3,0.974,1.2,-0.226,0.883,1.022,-0.139,0.091,0.178,-0.087,1.02,1.126,-0.106,0.932,0.944,-0.012,0.088,0.182,-0.094
2016,1,Utah,Fresno State,0,11,8876677,3,5,0.600,0,2,0.000,6.7,3,3.7,1.23,1.21,0.02,1.036,0.838,0.198,0.194,0.372,-0.178,1.093,1.025,0.068,0.996,0.983,0.013,0.097,0.042,0.055
2016,1,Dayton,Syracuse,1,3,13476297,1,2,0.500,4,9,0.444,6.6,4.9,1.7,1.129,1.128,0.001,1.012,1.161,-0.149,0.117,-0.033,0.15,1.023,1.041,-0.018,0.93,0.968,-0.038,0.093,0.073,0.02
2016,1,Michigan State,Middle Tennessee,1,13,17639546,5,7,0.714,0,0,0.000,15.7,3.4,12.3,1.737,1.103,0.634,1.132,0.878,0.254,0.605,0.225,0.38,1.155,1.025,0.13,0.929,0.977,-0.048,0.226,0.048,0.178
2016,2,Kansas,UConn,0,8,18020944,11,14,0.786,1,4,0.250,12.6,9.6,3,1.241,1.254,-0.013,0.847,0.949,-0.102,0.394,0.305,0.089,1.12,1.059,0.061,0.943,0.92,0.023,0.177,0.139,0.038
